PPO before,AC before,random,PPO after,AC after,baseline
-300.0,-510.0,-100.0,3337.489771068096,1853.398873448372,2311.4110463261604
-105.41433185338974,-600.0,-352.50548934936523,-104.64211940765381,1772.1300438046455,2827.7956703305244
-100.0,-221.50548934936523,-310.5630922317505,4602.750389099121,1846.3268557786942,2470.4491429924965
-24.542688250541687,-154.98749482631683,-100.0,4535.962384045124,1648.0247510671616,-109.0
-122.47240841388702,-124.81271457672119,-126.07334554195404,-147.38756388425827,2393.8106203079224,3080.6624747514725
-600.0,-104.0818339586258,-135.0,-103.27188497781754,1913.2562060952187,1273.1220481395721
-139.92233324050903,-300.0,-300.0,2765.29432952404,2044.9973428845406,2027.615018427372
-105.0,-108.00848841667175,-165.0,4408.226597547531,1613.8859643936157,-101.97540748119354
-327.0,-126.17008256912231,-100.0,4630.299593508244,1872.6076539754868,1948.6459617614746
-300.0,-365.0,-600.0,2514.020921587944,1685.5030448436737,2915.5181552171707
-365.0,-600.0,-100.0,2663.515723466873,-118.43342864513397,-105.32603484392166
-100.0,-600.0,-300.0,4397.985113024712,1797.6828900575638,-104.52591478824615
-603.0084884166718,-290.0,-205.0,4549.20132124424,1274.3971256017685,-101.97540748119354
-114.71671187877655,-138.00848841667175,-131.0,4408.895458161831,1509.7009589672089,2655.307247877121
-300.0,-600.0,-100.0,3308.305537045002,1310.5871533751488,2395.975660264492
-109.90774554014206,-600.0,-100.0,3946.659024000168,2052.8964587450027,2682.4400631189346
-100.0,-600.0,-145.0,3217.787564456463,1641.8270159363747,2317.7671523690224
-340.0,-360.0,-300.0,3068.2920736074448,1397.2336303591728,2435.3986444473267
-100.0,-143.49700093269348,-300.0,3198.981854021549,-136.51269698143005,2380.280927300453
-100.0,-600.0,-100.0,4082.7932122945786,1543.9181452989578,2876.543030798435
-124.12243008613586,-136.49700093269348,-123.00848841667175,4616.690966784954,2011.7397203445435,1894.9065937399864
-633.0084884166718,-653.4970009326935,-300.0,2870.9451778531075,1262.9459739923477,2134.8301235437393
-100.0,-153.07334554195404,-100.0,4248.604124009609,2734.2000663280487,2162.3709049224854
-100.0,-600.0,-100.0,4558.602633297443,1830.1837044358253,1979.9151679873466
-300.0,-95.78977620601654,-150.0,4136.439792394638,1016.4743499755859,1958.9743664860725
-140.0,-200.0,-300.0,4439.361615598202,2640.1785002946854,-120.16095113754272
-300.0,-290.0,-115.0,2716.013455748558,796.2985881567001,2619.096341609955
-100.0,-600.0,-188.20562136173248,4143.558358073235,2125.869436264038,2245.5177164673805
-100.0,-585.6254291534424,-172.0,2207.75955337286,-110.94970947504044,-109.0
-133.00848841667175,-237.20562136173248,-600.0,4495.913331985474,1512.9512362480164,1948.6859639286995
-600.0,-253.49700093269348,-155.0,4440.164529681206,1953.4689764976501,2543.9679758548737
-100.0,-115.0,-300.0,3713.3404515981674,1792.7355345487595,2519.9450660943985
-100.0,-221.50548934936523,-600.0,2831.1671317219734,-136.14882969856262,1793.783915579319
-105.94313859939575,-600.0,-283.00848841667175,-265.88271152973175,1130.9402236938477,1956.4705880880356
-600.0,-600.0,-126.07334554195404,-211.1743724346161,2291.993521153927,1534.4493091106415
-100.0,-600.0,-100.0,2372.3448828458786,1435.7026615738869,1891.2240085601807
-307.0831549167633,-290.0,-363.0382937192917,1431.4722735881805,1853.9911851286888,2576.9930177927017
-100.0,-521.5054893493652,-100.0,1965.5378322005272,2211.611982703209,2576.0506920814514
-537.2056213617325,-157.0,-100.0,3707.458600759506,1801.139185667038,-109.0
-100.0,-152.3352496623993,-143.0,4123.4252443909645,1871.103067100048,-105.24891531467438
