PPO before,AC before,VPG before,random,PPO after,AC after,VPG after,baseline
-537.2056213617325,-510.0,-100.0,-100.0,3707.458600759506,1482.2556804418564,1585.4745318889618,-109.0
-100.0,-105.0,-300.0,-143.0,4123.4252443909645,797.7391443252563,1682.867680966854,-105.24891531467438
-574.0685815811157,-600.0,-300.0,-100.0,3437.4414804577827,1256.5889882445335,1525.5087547898293,3027.5663546919823
-300.0,-600.0,-237.20562136173248,-112.0,3204.686652958393,1178.0665407180786,1168.912889778614,1754.3360652923584
-600.0,-527.9874948263168,-140.0,-300.0,-109.15371942520142,1586.8275938630104,1093.6768835186958,-130.17217469215393
-100.0,-135.0,-161.07334554195404,-126.49700093269348,4361.994227349758,2168.074688255787,1244.5878689289093,-104.2720155119896
-100.0,-525.0,-300.0,-600.0,4156.718523859978,1985.2809405326843,1468.547352194786,-109.0
-537.2056213617325,-114.0,-333.00848841667175,-360.0,3470.333504796028,1945.3045220971107,2542.8207287192345,-109.0
-107.83105051517487,-600.0,-298.5630922317505,-100.0,1525.8592268824577,1075.5892063379288,2401.8995907902718,1895.085700392723
77.49525254964828,-600.0,-300.0,-600.0,3640.8799924254417,1435.4812183976173,1685.5485844612122,2723.9991664886475
-100.0,-112.0,-600.0,-315.0,2862.619116783142,2173.4498326182365,1824.7300838828087,1784.1717674136162
-340.0,-173.3303057551384,-553.4970009326935,-100.0,4870.5604211091995,2188.3205165863037,1987.9978004097939,2565.142228245735
-100.0,-290.0,-329.0818339586258,-244.0,3573.698632776737,1357.1449491977692,1651.187027156353,2039.9989140629768
-100.0,-600.0,-600.0,-100.0,4473.42688947916,-107.68038558959961,-103.21501100063324,-110.30216872692108
-600.0,-304.0,-196.0,-135.0,4214.358836114407,1536.7126150727272,1789.7423993349075,2896.9531539678574
-100.0,-112.0,-196.0,-300.0,3674.1417919397354,1997.733144044876,1412.5817286968231,2268.437733590603
-253.49700093269348,-633.0084884166718,-583.2789669036865,-200.0,2998.476494848728,1697.694865822792,1245.5697963237762,-136.1969085931778
-100.0,-131.0,-100.0,-100.0,4637.09067761898,-125.68125474452972,1668.1390172243118,2343.582358121872
-100.0,-153.49700093269348,-333.00848841667175,-157.0,3982.6836832761765,1154.4856318235397,2203.0332293510437,2687.485284924507
-600.0,-600.0,-196.0,-171.0,4851.667469799519,1891.5489609241486,1488.1606812477112,2249.097357571125
-146.0,-131.0,-379.0818339586258,-510.0,3336.3388653993607,-147.92294651269913,1723.81603205204,-109.0
-670.0,-131.0,-665.0,-237.20562136173248,4396.393999636173,1989.5819796919823,2495.759387433529,2176.581237733364
-100.0,-348.41371381282806,-600.0,-633.0084884166718,2906.6837601065636,1740.2860411405563,2010.3098688721657,2297.6461231708527
-233.81274282932281,-300.0,-300.0,-157.0,2841.946258723736,-102.30481725931168,-123.89301657676697,2563.187311589718
-100.0,-600.0,-130.00848841667175,-123.00848841667175,2853.886575460434,1895.9590046405792,1724.8801513314247,1691.9439601302147
-102.19312256574631,-140.0,-300.0,-200.0,4577.651488006115,2172.319195687771,1508.3360773921013,-102.77635753154755
-232.0,-131.0,-360.0,-600.0,2537.959531545639,1771.2866408228874,2040.0051809549332,2566.4942056536674
-237.20562136173248,-135.0,-365.0,-100.0,2534.686122894287,1620.7943367362022,1430.6079179644585,2083.360738694668
-120.0,-102.0,-537.2056213617325,-600.0,2569.5817079544067,1473.8964433670044,1907.4613829255104,2537.180681884289
-119.0,-131.0,-600.0,-615.0,1907.8378720283508,1495.782558441162,1696.000148832798,2514.6193854808807
-100.0,-600.0,-300.0,-102.86635494232178,4236.015529513359,2049.065367937088,1691.1695610284805,-101.26050877571106
-274.5324087738991,-620.0,-300.0,-290.0,2752.4288981556892,1973.6809054613113,-133.11810284852982,2626.745572566986
-600.0,-340.0,-633.0084884166718,-300.0,-100.10377240180969,1965.050778567791,1685.0006497502327,2220.6747249364853
-300.0,-510.0,-201.91790288686752,-157.0,2224.2002158761024,1450.0264086723328,2145.1529502868652,1567.8332304358482
-134.00848841667175,-510.0,-600.0,-300.0,2650.992176055908,1701.1010506749153,1827.1035597920418,1517.7680574655533
-313.4970009326935,-510.0,-133.00848841667175,-225.0,3788.249717414379,1531.4459085464478,1632.1554778814316,1722.0536810159683
-627.0,-142.0,-600.0,-600.0,3129.8925389647484,1515.7618514299393,2138.242966532707,1717.892322421074
-205.06858158111572,-600.0,-300.0,-115.0,2613.9896334409714,1471.5057125091553,-124.91001564264297,1935.488775074482
-105.0,-139.49700093269348,-627.0,-537.2056213617325,3455.705840587616,1220.3149478435516,2229.5310137867928,-109.0
-100.0,-108.00848841667175,-100.0,-100.0,-115.32676124572754,1632.349364221096,1781.4639170765877,1695.0135288834572
-305.0685815811157,-142.0,-600.0,-300.0,2370.6762746572495,2446.647258937359,1747.566135764122,1801.3782655596733
-103.64901602268219,-600.0,-600.0,-115.0,-117.36627519130707,-106.77127534151077,1551.7903559803963,2483.3330701589584
-553.4970009326935,-111.07334554195404,-147.97540748119354,-627.0,1797.5531704425812,2296.109992325306,1558.2236750721931,-117.32676124572754
-600.0,-200.0,-313.4970009326935,-537.2056213617325,-103.01011854410172,1827.6281242966652,1916.4804928898811,1459.959757745266
-39.956543028354645,-135.0,-327.0,-142.0,-260.98478323221207,1434.5478860139847,-168.56581318378448,2099.0203545689583
-100.0,-340.0,-521.5054893493652,-600.0,3627.1990540623665,1912.4706237316132,1429.4947164654732,-103.68960535526276
-100.0,-600.0,-268.2056213617325,-537.2056213617325,3907.3098475933075,1630.6150369644165,1934.9523394107819,2384.4633459448814
-119.69622296094894,-309.0,-600.0,-108.00848841667175,3809.8409208655357,1420.4392127990723,1092.3942084908485,1621.0503850579262
-100.0,-600.0,-100.0,-123.00848841667175,4993.749641120434,1850.905500292778,2637.5445187091827,-101.97540748119354
-268.2056213617325,-300.0,-626.5054893493652,-152.50548934936523,2386.598872900009,1961.8137037754059,-102.0,-101.97540748119354
