,TD3 before,TD3 eval,dummy
67,-929.2466262548555,-246.02716485091182,-859.9453426147427
68,-1176.4245672029406,-134.77618998186554,-1638.6844568943627
69,-1061.8560264365008,-138.02868347097095,-993.5836505722564
70,-1088.7409560926926,-128.14423070008766,-996.805805374399
71,-1237.4703770608467,-131.91616653305294,-1464.5705312059201
72,-1514.0852678392014,-350.88804143884283,-1366.999471734573
73,-1502.9547518705367,-342.24443323615776,-890.6478727496585
74,-1433.3738570956193,-121.12916237089138,-905.8719388339209
75,-1210.444870339179,-246.07264718460036,-1359.1363835805346
76,-1163.5763341085026,-139.85952150204875,-1597.111707534034
77,-1072.5127035473647,-134.30274737467417,-1177.5470161389608
78,-1317.3371994084719,-115.80450105014494,-1300.283494168044
79,-1169.122858969336,-136.60127886320535,-1667.4792130581122
80,-1469.075589325439,-123.90963310196507,-855.2003297506337
81,-1042.9672426212292,-243.594513181259,-1301.9895109774639
82,-1171.0129012673538,-248.19995572602727,-1723.6344704370558
83,-1338.8390617899631,-130.50927322168872,-996.0700182243764
84,-1172.238733479775,-11.352390585515545,-1734.966571749858
85,-1364.4149690759923,-243.48088279284448,-914.4543677557555
86,-1661.5049198217143,-4.891951200631906,-1325.0946978753561
87,-1008.2898423624902,-246.59365946996098,-1786.1490042993225
88,-1043.1922301535742,-135.37965146747226,-1297.16516000313
89,-1296.619595735583,-2.3773539856012404,-863.0338219334271
90,-1044.4452533231645,-137.7614426468243,-1389.7310139690667
91,-1168.607055737044,-130.45558872186427,-1760.9949645095421
92,-1305.668664317846,-140.933804961352,-790.0054996678355
93,-1421.2252075788451,-128.4227435391163,-1050.479042267682
94,-1749.7048568562777,-135.15340078978997,-1811.6703472627814
95,-1688.4291876799998,-12.840143412214733,-1483.0013920902995
96,-1827.5626847653577,-134.85801741625585,-962.1938953857458
97,-1426.2555308723718,-130.64421808339904,-1282.3402544398518
98,-1359.4039886021014,-136.08557759883337,-870.6765044767619
99,-1304.1998234961936,-267.1243025413886,-1007.9674154038928
