random,PPO after,AC after,VPG after,baseline
-502.00358629226685,5145.167857170105,5658.286037564278,4607.884940803051,5761.168188273907
-295.1899564266205,5634.591520249844,5316.885331869125,4503.620730757713,5743.467783272266
-157.51839089393616,5983.868381261826,4391.655281186104,4598.847136557102,5260.312235832214
-585.8741221427917,5135.742110311985,5392.1717119812965,4213.652552604675,5712.024553835392
-600.0,5797.269181728363,5009.836014926434,4807.189408063889,-132.94024276733398
-137.00358629226685,5204.867123842239,4986.392340898514,4800.798430502415,5525.118986546993
-547.9433465003967,5593.19385266304,5048.8169811964035,5765.47373688221,4955.599699497223
-157.0,5926.483584463596,4388.995094835758,3305.351694583893,5192.7206953167915
-276.66882824897766,5833.199567317963,4667.003306508064,4130.2012295126915,5358.378569722176
-247.94334650039673,5242.373354911804,5088.423941493034,5247.223172426224,5120.806204736233
-331.0,5542.744798243046,4767.11074078083,3972.9514474868774,5857.3345103263855
-257.6821919679642,5751.65469121933,5216.713449597359,5303.93073952198,4601.9121968746185
-159.14736878871918,5305.099618673325,5541.7744834423065,4707.836690425873,5237.689641296864
-290.0,5341.183369576931,4994.621560275555,5600.061754465103,6245.409400939941
-100.0,3142.702889084816,4895.701786398888,4168.325118362904,5701.472049713135
-600.0,5400.199380815029,5363.777743816376,3991.054910302162,4917.4158717393875
-131.0,5210.532624781132,4322.766865074635,3893.5282487869263,5592.0994201898575
-180.0,5147.061418473721,4449.308899343014,4652.807386100292,5321.9134848713875
-100.0,5628.482550263405,4720.100321829319,4761.298209607601,5877.501603960991
-219.6545032262802,3332.2126851677895,5040.339664399624,4853.8657975792885,5547.998087108135
-100.0,4446.218662083149,4919.462314069271,4498.874207377434,6062.372958958149
-131.0,5768.590666115284,4296.393806517124,5168.411556065083,5147.347671926022
-300.0,5417.13155567646,4317.336926877499,4465.831159114838,5096.226460158825
-527.8304097652435,5612.278884291649,4268.276855289936,5057.345826089382,4957.609701216221
-150.0,5601.064437448978,4988.079136013985,4700.892813742161,5274.898383080959
-562.814019203186,5484.211149036884,3948.635576069355,5302.294377088547,5159.103515088558
-268.81401920318604,5658.673206686974,4855.303448557854,4772.346648693085,5531.141959428787
-100.0,5308.143157720566,4643.987671375275,4140.487404465675,6173.6916046738625
-291.1895670890808,5631.311816930771,3933.8848934173584,5600.684306263924,5840.86548191309
-118.68380832672119,4971.51730042696,5037.602973282337,4520.906797230244,5801.782717764378
-391.6545032262802,5275.6373879909515,4206.355283677578,4959.6716594696045,5004.169571280479
-100.0,5170.503912866116,4680.5913489460945,4705.304288625717,5910.3653473854065
-600.0,5466.6841705441475,4706.959131300449,5159.718964159489,5499.538840532303
-300.0,5265.377050757408,4276.8812727332115,5110.00788384676,4822.861437916756
-100.0,5167.1676107645035,4757.578990995884,4390.397067964077,5012.608278632164
-247.94334650039673,6233.927502512932,5244.790851712227,4592.415299534798,5401.607941806316
-502.00358629226685,5093.471559584141,5369.076325893402,4272.933290243149,4751.521787345409
-496.72651624679565,4654.801899135113,5014.377317368984,4987.604532897472,6245.340956628323
-331.0,3387.6984053850174,4613.827940046787,5023.997106194496,6340.621813237667
-599.8961064815521,3211.138789355755,5037.9948853850365,4189.22269064188,6041.544173240662
-100.0,4626.102064073086,4275.269254088402,4861.624926388264,5730.404328882694
-100.0,4994.6048265099525,4361.59829556942,4915.919628679752,5420.727708995342
-100.0,4792.7548286914825,4588.124889612198,4894.190004467964,5278.576415717602
-303.243097782135,4980.182197570801,4180.999421298504,4273.020226716995,5311.649665534496
-100.0,5874.250272929668,5293.026770591736,5008.168967425823,5709.407482504845
-300.0,5477.09848600626,4561.124617278576,4859.708428740501,4584.503489971161
-114.15506601333618,5405.271145105362,4424.7872034311295,4337.148621380329,5800.5655727386475
-600.0,5470.60656863451,4891.69565820694,4281.551143705845,4889.093462347984
-112.0,5326.073717415333,5192.4783690571785,4611.188085973263,5560.6644941568375
-100.0,5827.257659316063,4384.5035623312,4147.8462708592415,5397.4804319143295
-600.0,5153.070869743824,5260.806621432304,4799.134380400181,5842.423788070679
-290.0,5499.654255211353,4791.63713914156,4188.679691314697,5202.424640953541
-149.89610648155212,5771.171892166138,5139.48012137413,5275.151571214199,5732.825425922871
-204.08177644014359,5306.166114985943,4594.722141861916,4102.875959277153,5514.849927127361
-103.0,5332.8027483820915,4763.750339448452,4289.123319864273,5858.433201849461
-274.51459407806396,4957.2794879078865,5140.5806738734245,4567.830506145954,5063.705529987812
-620.0,5662.772861301899,4970.413974702358,4580.2894832491875,5337.050807595253
-200.0,5229.097578465939,4196.662012338638,4514.731466412544,4561.209294855595
-118.0,5620.043508529663,4804.129596710205,3994.653403699398,5253.157283425331
-600.0,5879.771019458771,4021.1812893748283,4981.8523270487785,5625.013050079346
-171.0,5487.1556641459465,5455.589671909809,5130.103462815285,5007.412873387337
-307.94334650039673,5410.894156932831,4688.278282105923,4638.995622038841,5370.850549221039
-494.6881413459778,4854.129097700119,5294.8837678432465,4682.457190275192,5344.645705997944
-247.94334650039673,5294.516362309456,4733.8580641150475,4548.694743275642,5558.598393797874
-331.0,3428.5436227321625,5071.418762981892,4493.774329185486,6003.449931740761
-270.66051197052,5141.052868306637,4414.6176615953445,5228.55285179615,4985.442051112652
-600.0,4592.657877922058,4580.384728550911,4704.702638745308,5614.034373164177
-300.0,3896.0971487760544,5022.041688680649,4648.752809286118,5960.745855867863
-351.2346542477608,5394.862864553928,3745.6587789058685,4639.046044290066,6079.392398655415
-598.8304097652435,5593.48503112793,4619.602370858192,4353.645123422146,5942.719687998295
-510.0,5082.298753082752,4491.388362526894,5151.411885023117,6212.142607212067
-149.89610648155212,5491.321287512779,4181.598487854004,4212.879063665867,5810.78554391861
-360.0,5619.886132657528,4143.298438966274,4928.2262780070305,5648.213546991348
-202.00358629226685,5695.656992614269,3879.287451982498,4847.797072529793,4789.918643593788
-600.0,5375.5569922327995,4237.268717110157,4561.331672012806,5717.447066307068
-131.0,5467.068852245808,4585.470998704433,3714.995744228363,5395.804034173489
-150.0,5467.746276915073,3943.5002995729446,4794.702186644077,5026.297753691673
-118.0,4114.278059184551,4983.265827059746,5130.173384189606,6128.545245289803
-100.0,3289.6903826594353,4726.668545424938,4273.098445594311,5709.772369623184
-131.0,4900.9175354242325,4067.0914939045906,5101.235817849636,6068.775450408459
-340.0,5284.449694752693,4122.824227869511,4200.00075006485,5786.2458156347275
-300.0,5485.368661701679,4032.789147436619,4705.506003499031,5456.564585804939
-600.0,5247.717049121857,4929.791331410408,5164.688887119293,5891.822205841541
-300.0,5199.0253729224205,4549.097087204456,5213.934896290302,5214.73459482193
-340.0,5230.090661644936,4643.735365688801,5435.254141926765,5380.940734505653
-600.0,5205.550339281559,4752.720709979534,4377.005400836468,4685.279710531235
-340.0,5473.043094217777,5041.312151551247,3760.4593178629875,5423.377561748028
-100.0,5314.543604969978,4974.964932322502,4807.4908900260925,4884.701288819313
-631.0,5838.571860790253,4678.182295739651,4710.5835555791855,4383.730961918831
-600.0,5544.587933003902,4713.655429303646,4485.126193165779,5976.571991145611
-600.0,5430.120401620865,5131.334411978722,4973.02244001627,6116.154698908329
-239.81401920318604,5690.437560856342,5129.710225701332,4614.719085931778,5374.864145338535
-142.1895670890808,5583.292859554291,3206.5775953531265,4563.698170721531,5031.853178679943
-600.0,5971.843164682388,4939.788850009441,4614.839342236519,6149.163737475872
-300.0,5395.287445187569,4266.933119535446,4095.9935181736946,4761.467808544636
-131.0,5561.960580587387,4317.097780048847,3765.856602370739,5947.915695428848
-300.0,5672.402463436127,4511.002490460873,4768.0170367360115,5445.414591789246
-582.1895670890808,5386.3946996331215,4813.188073575497,4587.4327855706215,6397.255969047546
-300.0,5118.01943141222,4953.183282494545,4019.788458406925,6231.6236979961395
-352.73419815301895,5382.868337929249,5159.1255150437355,4854.820334911346,5572.852301359177
-142.0,5513.8838440179825,5730.907631039619,4168.090280890465,5543.644142091274
-101.66874837875366,5626.690333068371,4375.641622245312,4111.191430807114,6098.243465125561
-202.00358629226685,5037.796598851681,5025.750025570393,4533.467197299004,5575.407918334007
-112.0,5032.14873868227,4773.78622251749,5253.449091017246,5081.97515809536
-108.0,4671.890156507492,3602.1467309594154,4405.275265693665,5040.845879673958
-643.0,5278.875692665577,4502.034534096718,4318.37866127491,5341.694495022297
-600.0,5427.433298230171,4377.826153934002,4084.7516673207283,5517.741761147976
-600.0,5504.1313544511795,4842.414616942406,4679.9917877316475,6676.670290589333
-290.0,5371.503180861473,4922.711220860481,4849.297055780888,5449.534396827221
-360.0,5576.046315133572,4640.824982225895,4994.846850156784,5240.512464463711
-409.685778260231,4865.8691213727,4908.173219561577,4278.183245837688,-138.04965871572495
-600.0,5594.08439964056,4768.78648430109,4973.991666793823,6537.292673230171
-300.0,5456.927584350109,4135.251348555088,5129.406870901585,5310.107927143574
-111.68380832672119,5264.955193758011,4413.4751480817795,4412.025864839554,5176.577769219875
-133.0,4724.788785040379,4611.823012828827,5551.048184394836,5333.535892248154
-600.0,5500.817628860474,4836.602092564106,4573.391435325146,5498.021949350834
-193.32016730308533,5556.23415517807,3802.237613558769,4958.458155453205,5724.528830230236
-239.81401920318604,5549.07198882103,4821.833545386791,4222.376807749271,6155.221906363964
-584.5591989159584,5117.720518827438,4415.435086965561,4742.733663320541,6598.831119120121
-290.0,5353.463152527809,5161.350970327854,5180.200820744038,5290.026705682278
-238.68219196796417,4975.169704318047,4313.461182534695,5173.6212875247,4920.092391490936
-600.0,5534.11534935236,3965.561257183552,4672.992266595364,5637.946923553944
-100.0,6097.387682080269,4253.217389881611,5228.467240571976,4947.631683468819
-300.0,3338.3082976341248,5550.158847570419,4770.458300113678,5294.430480837822
-457.94334650039673,6258.740863263607,4858.47245579958,5022.425647318363,4599.1799991726875
-300.0,5260.106194496155,4733.36709600687,4938.475084066391,4764.645625829697
-100.0,5240.628144264221,5065.323866069317,4830.454024732113,5120.207842588425
-135.0,6053.156158030033,4815.085867464542,4974.453019142151,5391.98319542408
-111.89610648155212,4896.270134091377,4618.751223266125,4729.981070578098,5773.4779015779495
-107.79410195350647,5965.616730451584,5192.459181308746,5187.164800107479,6494.1774634718895
-121.0,5585.344658374786,4009.4964856505394,4491.822580814362,4605.300533235073
-620.0,5945.772825241089,4725.949148118496,4830.4642914533615,4810.866900980473
-300.0,5801.426665902138,4071.522245645523,4942.716293334961,5957.574136674404
-343.0,5222.738196849823,5104.612827062607,4719.115449428558,6302.3621262311935
-600.0,4097.356085658073,4533.036728680134,4417.793261826038,4771.721371889114
-300.0,5651.855178356171,5183.867145895958,4043.695976614952,5344.003911852837
-339.81401920318604,5612.715454816818,4066.6933637857437,4041.1854270100594,5280.71866184473
-100.0,4557.068941891193,4934.829676032066,4518.526528418064,4889.52576059103
-300.0,5239.246361196041,4692.920197963715,4721.429687857628,5715.589370906353
-112.0,4792.426644086838,5573.978250384331,4328.030475318432,5803.686060786247
-340.0,5639.086862504482,4745.14397662878,4780.890199005604,5960.4161875844
-600.0,4160.559867799282,4287.4117559194565,4877.6760620474815,6537.721522986889
-204.09901320934296,5851.8864404559135,4542.165658056736,3345.1962397694588,5470.822721362114
-300.0,5289.622521221638,4815.159805238247,4766.729783773422,5588.671403229237
-300.0,5620.91092312336,4802.96863335371,4925.4096385240555,4652.687573254108
-143.0,4221.795657515526,4679.336043894291,4733.975628733635,5424.258217394352
-134.89610648155212,5539.509788036346,4271.8679131269455,4763.000270426273,4491.186560153961
-300.0,4913.868243575096,4686.126443862915,4252.367878139019,5181.609724521637
-100.0,5273.1468005776405,4410.644076049328,4291.5793061852455,5846.925846219063
-124.0,5595.114836633205,4430.499938249588,4288.61347848177,5296.42132627964
-300.0,5795.86746352911,5064.113165199757,4795.650602757931,5898.708498835564
-187.47031426429749,5924.256499052048,5164.606632590294,4623.317555129528,5862.576825737953
-300.0,5403.555146932602,5027.019034206867,5069.062413156033,5397.033778727055
-112.0,3378.639069080353,4182.111099660397,5665.578901588917,5226.461464107037
-200.0,5224.443346381187,3992.267908811569,4879.0402354598045,4472.930298745632
-300.0,5529.557036399841,5391.310204923153,4613.539125204086,5331.848120629787
-112.0,5244.367945313454,4951.32455688715,5129.244376718998,5340.191347897053
-150.0,4205.887529551983,4606.841298520565,4765.200746893883,5457.922771692276
-447.4962111711502,5003.877112329006,5416.064183592796,4562.5337485075,5687.045694172382
-150.0,5596.095028996468,4784.062859892845,4529.558918714523,4799.14076513052
-179.17705035209656,5480.182921171188,4141.93273383379,4943.8456164598465,4785.582792460918
-118.0,4689.591513097286,4823.910207927227,4280.955886900425,5176.3196449279785
-276.94334650039673,3375.5216602683067,4946.549707174301,5316.761298596859,6117.282938659191
-600.0,5140.932372570038,5018.391191840172,4415.224893391132,5382.377973616123
-156.3325114250183,3197.4843034744263,4653.821816682816,4546.445389568806,5376.490226328373
-112.0,5484.230725586414,4224.5616953372955,3591.898128449917,3908.6299625635147
-600.0,5250.266822218895,4528.293435275555,3960.728028833866,4852.647651195526
-547.9433465003967,5617.528232932091,4938.521409571171,5250.769530773163,5891.996705412865
-343.0,4378.415751695633,4349.197633981705,5270.08271920681,5088.476837694645
-131.0,5285.775490164757,3784.9149985313416,5343.743467092514,5249.89566218853
-300.0,5000.836707651615,5157.729497373104,4303.898933768272,5981.465525150299
-100.0,4753.283001959324,4640.70382630825,4803.420662820339,5496.176371753216
-300.0,5411.7139130830765,4582.661976456642,4533.081321716309,5938.231662869453
-600.0,5436.505378186703,5201.422651529312,4719.33689725399,5035.484453082085
-239.83040976524353,5488.610240280628,4635.986851513386,4227.32888007164,6263.133297801018
-136.64442896842957,5092.458528101444,5441.197907209396,3801.8037059903145,5540.319308698177
-220.0,5533.192155659199,4651.093713283539,4581.060077607632,5268.042211651802
-100.0,5429.912405431271,4356.071874380112,4495.023270666599,3824.786042571068
-100.0,5446.898015975952,5498.149487257004,4404.237368226051,5067.300973057747
-100.0,4425.245305597782,4325.14219301939,4658.000237166882,6078.268199086189
-600.0,5608.488810420036,3887.686769425869,4679.8225392103195,6387.318241655827
-106.55793046951294,5386.27054721117,4847.490390300751,4270.184796869755,4510.362943947315
-200.0,5099.5714601278305,5845.886901140213,4600.643646538258,4949.175940036774
-600.0,5677.869338393211,4844.90535235405,4360.660393714905,5610.101138472557
-100.0,5636.515532553196,5154.65634560585,3926.537575483322,5752.1870983839035
-103.0,5267.774509727955,4550.491423130035,4543.04860585928,6127.603749871254
-600.0,5024.06485503912,4564.067682623863,4086.0450199842453,6087.572663784027
-184.0,5399.203174829483,4455.016580939293,4375.544907391071,6256.9008467793465
-130.89610648155212,5489.28474766016,5132.66115540266,4366.716561615467,6274.213816702366
-202.00358629226685,5518.01619040966,4616.244000196457,4730.078378200531,5200.433280408382
-104.18956708908081,5563.791126012802,4337.532644033432,4464.1089352965355,5583.760221481323
-300.0,5007.475659668446,4861.020203530788,4665.991293728352,5444.258271634579
-118.14736878871918,5699.075020134449,4048.6965502500534,4025.971226990223,5313.816501796246
-162.1895670890808,5441.150545716286,4497.156652092934,4191.532595038414,5440.726660430431
-510.0,5272.363027751446,4989.230569601059,5088.09793895483,5584.842429459095
-620.0,5483.097731232643,4820.814246177673,4400.967411696911,4667.538840472698
-170.30450463294983,4701.5628901124,5044.910200238228,5112.830132782459,5774.850147843361
-179.89610648155212,5503.092324435711,5082.448523819447,4829.6807715296745,4825.236272215843
-300.0,5615.359088480473,5059.012201011181,5112.156000971794,6021.938969254494
-131.0,5732.184541761875,5041.353303134441,5074.427706956863,5549.859686076641
-100.2397752404213,5580.243601560593,4859.942465126514,4328.616689324379,5339.590072572231
-437.62845730781555,5363.493357479572,5651.604072391987,4375.935754537582,5231.163141548634
-563.5061480998993,4748.591248095036,4980.320140302181,4662.5510694384575,5312.8775715231895
-299.8961064815521,5966.818619787693,4546.851218879223,4438.70602619648,5730.466599524021
-300.0,5238.089447855949,4714.664982736111,3965.2012792229652,5839.536448419094
