ppo,ac,random,baseline
4614.996196269989,-103.0,-135.0,4867.700071513653
4144.7391966581345,-103.0,-140.0,-103.0
4866.060364663601,3328.8987701535225,-113.7029178738594,4678.7804273962975
2612.4579205513,3292.0470121502876,-165.0,4493.892142653465
4886.368984043598,3784.785411655903,-300.0,5094.432374179363
3828.239501774311,3185.0318098664284,-138.9639269709587,5070.492313802242
4901.971160173416,3233.577423274517,-300.0,5524.022814691067
4281.354654431343,3330.429696559906,-109.8481913805008,5291.898222923279
4640.317942380905,3245.7047134637833,-600.0,5732.018248260021
2300.3727667331696,4006.0288615226746,-131.0,4411.950962305069
4617.229208230972,2393.797614991665,-117.0,6121.954415023327
4315.0499103069305,3522.199785888195,-133.0,4831.496559619904
4669.267430901527,-103.0,-383.0,4913.341622412205
4682.297894179821,3058.274748325348,-155.2610090970993,5240.834481775761
4503.910067260265,3491.4899703860283,-600.0,-103.0
4391.1020030379295,3892.9236621260643,-600.0,5160.816784024239
4264.189732611179,3367.7921891212463,-600.0,-103.0
3734.208735704422,3347.335051238537,-180.0,4398.617170214653
4436.053896248341,3573.991214156151,-373.2610090970993,5648.730699896812
4445.22375357151,3198.4005289673805,-162.0,4331.151524543762
3903.1836564540863,-114.82117360830307,-113.2610090970993,3810.647672533989
4550.146378815174,3196.7736461162567,-603.9639269709587,5260.7623144984245
3527.2521356344223,3095.6985746622086,-131.0,5355.379669249058
4427.3548411130905,3568.9146658182144,-360.0,5090.899047493935
4184.999938189983,3574.837687730789,-300.0,5110.539190411568
4599.586590647697,3493.5093089342117,-300.0,3823.56081789732
4308.344789505005,3345.6664378643036,-105.55886900424957,4697.981362521648
4319.687601685524,3235.868186533451,-140.0,4066.024535357952
-103.0,-119.88984429836273,-100.0,4697.8712485432625
4394.50085657835,3495.699095726013,-200.0,-103.0
4765.278874516487,2720.8192769289017,-131.0,4858.19976067543
4130.394851446152,3066.351352930069,-120.7029178738594,5367.858774065971
3352.8807351589203,2589.7753883600235,-155.0,5031.132226228714
5023.099609076977,-105.9063715338707,-271.5356827378273,5082.115609884262
5124.561886787415,3395.013299405575,-123.2610090970993,-110.50878947973251
4558.404315710068,3656.7443309426308,-143.5871822834015,5802.337714076042
4446.793178141117,2909.9536013007164,-112.0,4865.3569177389145
4703.446182906628,3759.9704891443253,-600.0,3618.417089164257
3877.817442238331,3044.6647304296494,-100.0,4817.250353574753
4544.463190317154,3674.0572969913483,-142.0,4853.493826687336
4862.8254480957985,4132.838010907173,-183.0,5203.568194627762
4694.964107573032,-103.0,-131.0,4775.338072836399
4511.028134763241,-109.18604397773743,-100.0,4912.515688717365
4793.361438214779,2801.024544775486,-112.0,5025.0312440395355
4201.2619044184685,3092.55448615551,-103.0,5488.88476395607
4626.171267747879,3221.5215035676956,-135.0,4934.682641863823
4771.8707221746445,3817.229874253273,-100.0,5627.776369988918
5107.9883189201355,3613.724321305752,-300.0,4091.565725207329
3379.7108390927315,3829.7710656523705,-100.0,5203.825911164284
3458.2339702248573,3475.589101731777,-665.0,3628.12451928854
4832.410889804363,2744.203655540943,-128.5871822834015,4193.362570106983
4388.907157361507,3223.5162160396576,-300.0,4464.346232950687
4566.922668635845,3872.613516807556,-138.0,5181.681423068047
3167.095386505127,3340.800033688545,-100.0,4806.465876400471
4149.760694801807,3065.3426268696785,-107.73969352245331,4301.941148459911
4228.916214704514,3540.46241158247,-119.58718228340149,4604.535241544247
4174.5673459768295,3542.804476261139,-136.8481913805008,-103.0
2859.600526869297,2591.9520204663277,-116.81987810134888,4338.332536756992
4078.0877195596695,3039.2041581869125,-143.5871822834015,5489.9757625460625
3822.2085503935814,3100.8725970983505,-300.0,4516.086815237999
4560.755677521229,3638.11723279953,-100.0,4037.367017686367
3564.9937517642975,3162.2736127376556,-200.0,4850.464863240719
-113.81987810134888,3835.062362074852,-100.0,4904.00051766634
4408.224604129791,3367.617515385151,-303.9639269709587,-106.4353494644165
3301.035877585411,3246.896577835083,-155.0,3964.734611272812
4421.220943391323,-103.0,-113.2610090970993,4641.416951060295
4750.785998404026,3174.802503466606,-600.0,4576.520383536816
4102.866687476635,3331.7538063526154,-600.0,4740.1263545155525
4586.843849658966,4015.621671795845,-300.0,4751.524261593819
4289.451539695263,3135.7360948324203,-156.26178687810898,5307.89489454031
3808.0790118575096,3221.9240584373474,-123.55886900424957,4592.81924790144
4967.536601126194,3081.763249397278,-600.0,4347.198873400688
3711.8701580762863,3386.7505910992622,-125.7029178738594,5218.261555194855
4499.4428488612175,3661.607098400593,-131.0,4983.1822296381
4843.001516699791,3483.8523138165474,-600.0,3912.3105553388596
3962.835582435131,3503.4726787805557,-620.0,4512.2009400725365
3766.537296772003,3104.0293642282486,-510.0,4609.315103530884
3326.770059466362,3819.4120911359787,-135.0,4453.196744561195
4265.398109793663,3400.645590007305,-100.0,5189.238259911537
4797.430789351463,-103.0,-100.0,4136.279939234257
4413.059481322765,3804.5328196287155,-100.0,4445.600740849972
4051.4798315763474,3776.0258910655975,-665.0,4227.704509317875
-100.0,3697.3473823070526,-131.0,4042.25225931406
4729.256304860115,3188.7174795866013,-117.0,5188.346789121628
4493.387847840786,3214.5637394189835,-136.8481913805008,4468.498300075531
4730.717498064041,3790.6002776026726,-620.0,4518.28651958704
4752.510981082916,3790.552395582199,-135.0,4758.189622402191
4688.404197871685,2505.76901948452,-220.0,5225.539222478867
4335.418926477432,-102.88944339752197,-620.0,4770.0485580563545
4561.712275981903,3766.959731936455,-145.40706038475037,5499.384040176868
4192.927925467491,3441.0670810341835,-180.40706038475037,4302.695518672466
4418.058764338493,-100.12039357423782,-112.0,5109.457472980022
4616.23955231905,3181.0822268128395,-173.2610090970993,4719.325268864632
4631.693788945675,4165.7020000219345,-340.0,5325.949169516563
4503.231525838375,3506.2222074866295,-112.0,4601.558100104332
4546.079561829567,3872.48217266798,-200.0,5014.419372856617
4073.9027222394943,3023.623809635639,-266.8792132139206,-101.02608186006546
3979.1351802945137,2446.003325521946,-180.0,4661.850626885891
4856.796527266502,3619.18398809433,-136.8481913805008,5217.915970146656
4154.709461688995,3479.6695206165314,-120.7029178738594,4518.259977936745
4593.029679715633,3012.2543571591377,-100.0,4205.569728672504
-130.0,-117.68974184989929,-630.7029178738594,4072.697117328644
4559.531489610672,3707.569414317608,-383.0,4847.575035691261
4502.819870233536,-112.8961751461029,-150.0,5705.417882859707
4710.006143629551,-103.0,-340.0,4256.215228021145
4193.041472434998,3855.1674283742905,-162.0,4906.405422627926
4824.828346431255,2943.1024178266525,-353.5871822834015,4487.247616410255
4397.921324431896,3848.2487439513206,-155.0,4467.369503617287
4139.121788263321,3530.0176163315773,-100.0,5081.225031614304
4605.129560351372,2781.9492244124413,-100.0,-103.0
4069.896825969219,3629.9548555612564,-149.55886900424957,3396.9008684158325
4827.12322717905,2366.1603885889053,-103.96392697095871,3903.25675457716
5122.85499638319,3716.6825117468834,-600.0,4710.507163822651
4346.974106132984,3145.4649226665497,-169.81987810134888,-103.0
4603.058782875538,3112.402383863926,-208.8842499256134,4201.825267195702
4587.668228387833,3748.1433097720146,-100.0,4147.340058922768
2750.2105397582054,2624.608350813389,-132.0,4990.0943648815155
4488.286031126976,3524.1506477594376,-177.14605128765106,4298.795947611332
4313.6090967059135,3779.5005281567574,-114.0,4585.052317619324
4503.252573311329,3093.014205992222,-600.0,3963.8543947935104
4154.619153559208,3219.7315391898155,-150.0,4771.440710783005
-101.58718228340149,3758.6412902474403,-600.0,-103.0
4228.593060672283,3448.997579753399,-300.0,4364.105117857456
4708.147913098335,3292.02649384737,-383.0,4982.361682653427
4085.0666323900223,3466.484589278698,-388.0,3992.70708155632
4783.98113232851,4025.9482048749924,-600.0,4705.650516331196
4651.253446400166,2749.379821538925,-100.0,4506.594583451748
